Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2021-02-25T15:58:14-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 3 SPX 12/17/21 Call 4900.00 @ 12.50,"3,750.00",3,"1,250.00",-3.00,-2.366,100,SPX,12/17/21,4900.0,CALL,133731914
2021-02-25T15:57:45-0500,Trade,SELL_TO_OPEN,SPX   211217C04900000,Equity Option,Sold 9 SPX 12/17/21 Call 4900.00 @ 12.64,"11,376.00",9,"1,264.00",-9.00,-7.088,100,SPX,12/17/21,4900.0,CALL,133731243
2021-02-25T15:57:45-0500,Trade,BUY_TO_OPEN,SPX   211217C04300000,Equity Option,Bought 3 SPX 12/17/21 Call 4300.00 @ 87.42,"-26,226.00",3,"-8,742.00",-3.00,-2.36,100,SPX,12/17/21,4300.0,CALL,133731243
2021-02-25T15:52:58-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 3 SPX 12/16/22 Call 6000.00 @ 11.12,"3,336.00",3,"1,112.00",-3.00,-2.366,100,SPX,12/16/22,6000.0,CALL,133725694
2021-02-25T15:52:58-0500,Trade,BUY_TO_OPEN,SPX   221216C04700000,Equity Option,Bought 1 SPX 12/16/22 Call 4700.00 @ 98.36,"-9,836.00",1,"-9,836.00",-1.00,-0.79,100,SPX,12/16/22,4700.0,CALL,133725694
2021-02-25T14:59:47-0500,Trade,SELL_TO_OPEN,SPX   221216C04200000,Equity Option,Sold 1 SPX 12/16/22 Call 4200.00 @ 253.00,"25,300.00",1,"25,300.00",-1.00,-0.792,100,SPX,12/16/22,4200.0,CALL,133678872
2021-02-25T14:54:49-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 25 SPX 12/16/22 Call 6000.00 @ 11.80,"29,500.00",25,"1,180.00",-25.00,-19.69,100,SPX,12/16/22,6000.0,CALL,133676241
2021-02-25T14:53:24-0500,Trade,SELL_TO_OPEN,SPX   221216C04200000,Equity Option,Sold 10 SPX 12/16/22 Call 4200.00 @ 256.73,"256,730.00",10,"25,673.00",-10.00,-7.88,100,SPX,12/16/22,4200.0,CALL,133675426
2021-02-25T14:53:24-0500,Trade,BUY_TO_OPEN,SPX   221216C04700000,Equity Option,Bought 50 SPX 12/16/22 Call 4700.00 @ 104.46,"-522,300.00",50,"-10,446.00",-50.00,-39.29,100,SPX,12/16/22,4700.0,CALL,133675426
2021-02-25T14:53:24-0500,Trade,SELL_TO_OPEN,SPX   221216C06000000,Equity Option,Sold 50 SPX 12/16/22 Call 6000.00 @ 12.37,"61,850.00",50,"1,237.00",-50.00,-39.39,100,SPX,12/16/22,6000.0,CALL,133675426
2021-02-25T14:53:24-0500,Trade,SELL_TO_OPEN,SPX   221216C04200000,Equity Option,Sold 10 SPX 12/16/22 Call 4200.00 @ 256.72,"256,720.00",10,"25,672.00",-10.00,-7.88,100,SPX,12/16/22,4200.0,CALL,133675426
2021-02-05T14:16:28-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 1 SPX 12/17/21 Call 4900.00 @ 15.70,"-1,570.00",1,"-1,570.00",0.00,-0.79,100,SPX,12/17/21,4900.0,CALL,129088842
2021-02-05T14:16:28-0500,Trade,BUY_TO_CLOSE,SPX   211217C04900000,Equity Option,Bought 4 SPX 12/17/21 Call 4900.00 @ 15.70,"-6,280.00",4,"-1,570.00",0.00,-3.14,100,SPX,12/17/21,4900.0,CALL,129088842
